Date,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_dist_200_z,nifty50_persistence_200,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_50,nifty50_vol_50_z,nifty50_mom_63,nifty50_mom_126,nifty50_mom_12_1,nifty50_mom_12_1_z,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_mom_63,nifty_total_mom_126,nifty_total_mom_12_1,nifty_total_mom_12_1_z
2007-06-13,-134,-0.5667300203015091,4.991896272285251,-1.1793857575626332,-8.103727714748786,9.40032414910859,-0.18025721803657777,-5.251215559157211,7.585089141004862,0.20986737301195113,-0.8427876823338734,-0.953395272338631,0.34066922768054997,-1.1525316107466708,0.38523692421630074,-1.14025875213459,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-14,348,1.8316030841529998,6.839546191247973,-0.7154227944896642,-6.353322528363047,10.632090761750405,0.13211297706771574,-4.213938411669368,7.974068071312804,0.45712088668060996,-0.48622366288492636,0.1589406711007146,0.342767929432027,-1.0887488747942444,0.382211921095327,-1.2484391424298575,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-15,39,0.2451292308660462,7.325769854132901,-0.5875838815710228,-5.056726094003242,10.275526742301459,0.04602587235959396,-4.149108589951377,8.038897893030795,0.49225015380415493,-0.22690437601296587,0.1453409660288694,0.3452684861475369,-1.0160278468333186,0.381497027865993,-1.267725676412776,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-18,-198,-0.9510721773117681,6.871961102106969,-0.6924096377150561,-6.094003241491086,9.951377633711507,-0.03124086059041156,-4.829821717990274,7.714748784440843,0.26984275630675164,-0.8752025931928689,-0.07689027819419815,0.3395319387336039,-1.148498594100034,0.3803647065095925,-1.2990267896966405,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-19,110,0.6718767981192298,7.747163695299839,-0.466929345423633,-4.6029173419773075,10.178282009724473,0.030321626313300327,-4.570502431118316,7.941653160453808,0.4138889543481326,-0.48622366288492724,-0.08122662971659049,0.340177534084263,-1.1213353382988989,0.3777682497407615,-1.3831810354795013,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-20,147,0.9370208311624897,9.27066450567261,-0.0783533704366661,-2.301458670988655,11.021069692058347,0.24674343161402523,-2.949756888168558,8.363047001620744,0.6884874312904824,0.12965964343597847,1.1625953956681723,0.33892032177497666,-1.1423065300096207,0.37599233427909423,-1.4356525064658892,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-21,89,0.6316424235518502,10.502431118314425,0.236488862038425,-0.16207455429497664,11.474878444084279,0.36437421198510894,-2.171799027552675,8.427876823338735,0.7244044577403187,0.22690437601296587,1.700899945999401,0.3391274387436333,-1.126533196767912,0.37191373280550477,-1.5701493521401801,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-22,-33,-0.02717973283384714,10.113452188006484,0.14060365799462632,-0.7779578606158815,11.312803889789302,0.3260910985604148,-2.4311183144246353,8.557536466774716,0.8046756087611016,0.38897893030794073,1.0716533911097692,0.33697268263927344,-1.1685569901612494,0.37041681058474674,-1.6061957295099016,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-25,13,0.21115336776703425,11.280388978930308,0.43586380502273997,-0.7779578606158832,11.86385737439222,0.46821045029701586,-2.2690437601296605,8.589951377633712,0.8187857988511782,0.12965964343598202,0.9963671462716137,0.3385402595098936,-1.1191923082721613,0.3733183945183546,-1.48185197996197,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-26,48,0.4343904691444811,12.382495948136143,0.7155544344009581,-0.48622366288492813,11.961102106969205,0.49616284311406406,-2.3338735818476497,8.687196110210698,0.8767675016809567,-0.06482982171799101,1.1942119267440474,0.34770499204407274,-0.8852873009666812,0.3741968189811558,-1.4336630087545499,,,,,,,,,,,,,,,,,,,,,,,,,,
