Date,adv,dec,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nh,nl,nhnl,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_dist_200_z,nifty50_dma200_slope_pct,nifty50_persistence_200,nifty50_vol_20_z,nifty50_vol_50_z,nifty50_mom_126,nifty_total_dist_200_z,nifty_total_dma200_slope_pct,nifty_total_persistence_200,nifty_total_vol_20_z,nifty_total_vol_50_z,nifty_total_mom_126
2013-10-25,317,601,-284,-1.1326391427553255,59.171597633136095,1.3692048315401923,4.728288133646814,66.46942800788955,2.2714544265582113,19.278416771934495,29.88165680473373,3.0523093202495786,11.495548530985008,0,0,0,-0.17951220106089574,0.3806374210668497,0.009325753121940393,0.44798468486034465,0.9875424203390696,0.5042687190273263,0.17189893978819537,68.0,-0.20947656496572065,1.7065776436780256,0.05276773629837761,,,,,,
2013-10-28,317,600,-283,-1.0848251505754116,51.238850346878095,0.9326467719316887,-1.1615582333057688,62.83448959365708,2.0360677657414588,14.41773780611878,28.74132804757185,2.8419189390775275,9.742349498031505,0,0,0,-0.1674420357314034,0.3878977476015324,0.14172850476435034,0.44894783361641094,0.9971252089586572,0.3576206206066554,0.1844217718604435,68.4,-0.1808229768980603,1.6918952572046522,0.031235738552811698,,,,,,
2013-10-29,544,362,182,0.6440138720738215,55.533399800598204,1.1799140771135965,6.597229587832246,64.70588235294117,2.1128772918442538,16.58024912092496,30.707876370887337,2.9846769742877672,11.254988832893417,0,0,0,-0.15476864858438982,0.3834995754333359,0.0477379497734527,0.4405549626358377,0.8194599332870613,0.7874513518291241,0.20546936246805814,68.8,-0.016596860650751825,1.6922597565742354,0.05951681441551915,,,,,,
2013-10-30,490,407,83,0.23753097804303908,57.6271186440678,1.2963047051274805,16.70875129712902,65.50348953140578,2.1278978606108954,19.78920381712006,31.704885343968098,3.0102816206229535,12.929375139886464,0,0,0,-0.14482662916466907,0.3832044355180607,0.03319146155302426,0.4336869793435082,0.6728829105364895,0.8999880023534046,0.2350811065340963,69.19999999999999,-0.09711669984228717,1.668094662312374,0.058874341559255416,,,,,,
2013-10-31,506,405,101,0.2775700115349278,58.029556650246306,1.3092974363890915,13.262717272007961,66.20689655172414,2.1371696775537763,14.807932821154196,32.610837438423644,3.0222806115999745,12.092702723397736,0,0,0,-0.1379032725261024,0.38481777815272467,0.056534544584609256,0.42944175435107607,0.5793311933459686,1.0704428858869057,0.27647878266123804,69.6,-0.36898594872223206,1.3290908610310734,0.0622154396141783,,,,,,
2013-11-01,589,329,260,0.8925731762516516,60.813492063492056,1.4564141903607584,8.219392368680253,68.5515873015873,2.234803392567441,11.9900410147104,35.714285714285715,3.2508988543767883,14.249382357215524,0,0,0,-0.13446552023098374,0.3872337648005446,0.09616528732182066,0.43244406917205247,0.6327438054126929,1.0982736498776127,0.3130835374445917,70.0,-0.3751476097890471,1.2459163410479361,0.0513138923383365,,,,,,
2013-11-03,711,174,537,1.8991742507898086,73.389651531151,2.132669427267445,21.405928235118445,76.24076029567054,2.6122968344484385,19.47575520920055,40.9714889123548,3.6561502414518445,18.896209156505357,0,0,0,-0.12636676374738107,0.37790529382907895,-0.10100953882439756,0.4213978959577233,0.39985670265889467,1.1386915920961058,0.3356089240185822,70.39999999999999,-0.6109448665786235,1.2283800459376024,0.06281123822341872,,,,,,
2013-11-05,483,408,75,0.09198630124352031,66.4039408866995,1.7225243481168901,13.119269353852786,70.34482758620689,2.253403712506567,10.59508827442378,38.91625615763547,3.331372147734991,15.141490777030679,0,0,0,-0.11145647492487917,0.3960245775811729,0.2577713162893561,0.4341665430153997,0.6541212256791284,0.9148009577038874,0.34819221405328893,70.8,-0.49756698185143905,1.1638939473208754,0.04724462196766055,,,,,,
2013-11-06,480,435,45,-0.00914798051723504,65.98240469208211,1.6786266636369966,11.612485992895124,70.86999022482894,2.2481492818536184,11.21551868011349,39.49169110459433,3.2781310108338015,16.016081348496773,0,0,0,-0.09511680127230511,0.40003242430079633,0.33138826940321503,0.43656968944763985,0.6957311742344093,0.7818106631838811,0.36564940769614473,71.2,-0.4544455630935118,1.1165931002640375,0.028393907554334685,,,,,,
2013-11-07,315,610,-295,-1.3041185628026544,60.78817733990147,1.379676425088101,1.3097420339837171,69.55665024630542,2.14660059362023,6.06617883206269,37.83251231527094,3.0291750518916394,12.957888443656095,0,0,0,-0.07979681677492947,0.4058824387428124,0.44406723015955774,0.4350180176949722,0.6558319560342248,0.6881064459731133,0.378426958135214,71.6,-0.42862165173616895,1.1000516524901724,0.01943387211045744,,,,,,
